Athlete Name,All Events (reliance_events),Main Event
"Abhinaya Rajarajan","Women's 100m","Women's 100m"
"Amlan Borgohain","Men's 100m, Men's 200m","Men's 200m"
"Anand Singh","Men's Javelin Throw","Men's Javelin Throw"
"Ancy","Women's Long Jump","Women's Long Jump"
"Animesh Kujur","Men's 100m, Men's 200m","Men's 200m"
"Antima Pal","Women's 5000m","Women's 5000m"
"Bhartpreet Singh","Men's Discus Throw","Men's Discus Throw"
"Damneet Singh","Men's Hammer Throw","Men's Hammer Throw"
"Dondapati Mrutyam Jayaram","Men's 100m, Men's 200m","Men's 100m"
"Gopi Thonakal","Men's Marathon","Men's Marathon"
"Gurindervir Singh","Men's 100m","Men's 100m"
"Harshita Sehrawat","Women's Hammer Throw","Women's Hammer Throw"
"Jashbir Nayak","Men's Decathlon","Men's Decathlon"
"Jeswin Aldrin","Men's Long Jump","Men's Long Jump"
"Jyothi Yarraji","Women's 100m Hurdles","Women's 100m Hurdles"
"Kishore Jena","Men's Javelin Throw","Men's Javelin Throw"
"Krishik Manjunatha","Men's 110m Hurdles","Men's 110m Hurdles"
"Krishna Menon","Women's Shot Put","Women's Shot Put"
"Laluprasad Bhoi","Men's 100m","Men's 100m"
"Lili Das","Women's 800m, Women's 1500m","Women's 800m"
"Lokesh S","Men's Long Jump","Men's Long Jump"
"Man Singh","Men's Marathon","Men's Marathon"
"Manikanta Hoblidhar","Men's 100m, Men's 200m","Men's 100m"
"Mansi Negi","Women's Race Walk","Women's Race Walk"
"Mohammed Afsal P","Men's 800m","Men's 800m"
"Moumita Mondal","Women's 100m Hurdles, Women's Long Jump","Women's 100m Hurdles"
"Pragya Prashanti Sahu","Women's 100m Hurdles","Women's 100m Hurdles"
"Ramandeep Kaur","Women's 400m Hurdles","Women's 400m Hurdles"
"Reegan Ganeshan","Men's Pole Vault","Men's Pole Vault"
"Rishabh Giri","Men's Javelin Throw","Men's Javelin Throw"
"Rupal","Women's 400m","Women's 400m"
"Sahil Silwal","Men's Javelin Throw","Men's Javelin Throw"
"Sakshi Chavan","Women's 100m, Women's 200m","Women's 100m"
"Sarun Payasingh","Men's Long Jump","Men's Long Jump"
"Sawan Barwal","Men's 5000m, Men's 10000m, Men's Marathon","Men's Marathon"
"Seema","Women's 5000m, Women's 10000m","Women's 5000m"
"Shalini Negi","Women's Race Walk","Women's Race Walk"
"Siksha","Women's Shot Put","Women's Shot Put"
"Sreeshankar M","Men's Long Jump","Men's Long Jump"
"Swadhin Kumar Majhi","Men's High Jump","Men's High Jump"
"Tejas Shirse","Men's 110m Hurdles","Men's 110m Hurdles"
"Yashas Palakshka","Men's 400m Hurdles","Men's 400m Hurdles"
