Athlete Name,All Events (reliance_events),Main Event,PB in Main Event
"Abhinaya Rajarajan","Women's 100m","Women's 100m","11.54"
"Amlan Borgohain","Men's 100m, Men's 200m","Men's 200m","20.52"
"Anand Singh","Men's Javelin Throw","Men's Javelin Throw","76.97"
"Ancy","Women's Long Jump","Women's Long Jump","6.71"
"Animesh Kujur","Men's 100m, Men's 200m","Men's 200m","20.32"
"Antima Pal","Women's 5000m","Women's 5000m","16:47.49"
"Bhartpreet Singh","Men's Discus Throw","Men's Discus Throw","55.86"
"Damneet Singh","Men's Hammer Throw","Men's Hammer Throw","70.64"
"Dondapati Mrutyam Jayaram","Men's 100m, Men's 200m","Men's 100m","10.48"
"Gopi Thonakal","Men's Marathon","Men's Marathon","2:12:23"
"Gurindervir Singh","Men's 100m","Men's 100m","10.20"
"Harshita Sehrawat","Women's Hammer Throw","Women's Hammer Throw","62.20"
"Jashbir Nayak","Men's Decathlon","Men's Decathlon","7156"
"Jeswin Aldrin","Men's Long Jump","Men's Long Jump","8.42"
"Jyothi Yarraji","Women's 100m Hurdles","Women's 100m Hurdles","11.45"
"Kishore Jena","Men's Javelin Throw","Men's Javelin Throw","87.54"
"Krishik Manjunatha","Men's 110m Hurdles","Men's 110m Hurdles","14.60"
"Krishna Menon","Women's Shot Put","Women's Shot Put","17.09"
"Laluprasad Bhoi","Men's 100m","Men's 100m","10.34"
"Lili Das","Women's 800m, Women's 1500m","Women's 800m","2:02.98"
"Lokesh S","Men's Long Jump","Men's Long Jump","8.21"
"Man Singh","Men's Marathon","Men's Marathon","2:13:25"
"Manikanta Hoblidhar","Men's 100m, Men's 200m","Men's 100m","10.19"
"Mansi Negi","Women's Race Walk","Women's Race Walk","N/A"
"Mohammed Afsal P","Men's 800m","Men's 800m","1:44.93"
"Moumita Mondal","Women's 100m Hurdles, Women's Long Jump","Women's 100m Hurdles","12.12"
"Pragya Prashanti Sahu","Women's 100m Hurdles","Women's 100m Hurdles","11.84"
"Ramandeep Kaur","Women's 400m Hurdles","Women's 400m Hurdles","N/A"
"Reegan Ganeshan","Men's Pole Vault","Men's Pole Vault","5.35"
"Rishabh Giri","Men's Javelin Throw","Men's Javelin Throw","72.51"
"Rupal","Women's 400m","Women's 400m","51.85"
"Sahil Silwal","Men's Javelin Throw","Men's Javelin Throw","81.81"
"Sakshi Chavan","Women's 100m, Women's 200m","Women's 100m","11.62"
"Sarun Payasingh","Men's Long Jump","Men's Long Jump","7.80"
"Sawan Barwal","Men's 5000m, Men's 10000m, Men's Marathon","Men's Marathon","2:11:58"
"Seema","Women's 5000m, Women's 10000m","Women's 5000m","15:30.70"
"Shalini Negi","Women's Race Walk","Women's Race Walk","N/A"
"Siksha","Women's Shot Put","Women's Shot Put","16.50"
"Sreeshankar M","Men's Long Jump","Men's Long Jump","8.41"
"Swadhin Kumar Majhi","Men's High Jump","Men's High Jump","2.18"
"Tejas Shirse","Men's 110m Hurdles","Men's 110m Hurdles","13.41"
"Yashas Palakshka","Men's 400m Hurdles","Men's 400m Hurdles","47.45"
